Home,Home Win %,Home Odds,Away,Away Win %,Away Odds
Atlanta Hawks,0.9122768,1.04,Washington Wizards,0.087723196,10.83
Atlanta Hawks,0.8202543,1.16,Detroit Pistons,0.17974567,5.29
Atlanta Hawks,0.32649884,2.91,Phoenix Suns,0.67350113,1.41
Atlanta Hawks,0.43688342,2.17,Milwaukee Bucks,0.56311655,1.69
Atlanta Hawks,0.68532056,1.39,Utah Jazz,0.31467944,3.02
Atlanta Hawks,0.7718618,1.23,Minnesota Timberwolves,0.22813821,4.16
Atlanta Hawks,0.70606506,1.35,Dallas Mavericks,0.29393494,3.23
Atlanta Hawks,0.11434192,8.31,Boston Celtics,0.8856581,1.07
Atlanta Hawks,0.6055516,1.57,Washington Wizards,0.3944484,2.41
Atlanta Hawks,0.7298164,1.3,Memphis Grizzlies,0.27018362,3.52
Atlanta Hawks,0.8212533,1.16,Philadelphia 76ers,0.1787467,5.31
Atlanta Hawks,0.87334776,1.09,New Jersey Nets,0.12665224,7.5
Atlanta Hawks,0.788813,1.2,Indiana Pacers,0.211187,4.5
Atlanta Hawks,0.8649729,1.1,Charlotte Bobcats,0.13502711,7.04
Atlanta Hawks,0.4689517,2.03,Orlando Magic,0.5310483,1.79
Atlanta Hawks,0.83785254,1.13,Cleveland Cavaliers,0.16214746,5.86
Atlanta Hawks,0.6240323,1.52,Golden State Warriors,0.37596768,2.53
Atlanta Hawks,0.8847133,1.07,Indiana Pacers,0.11528671,8.24
Atlanta Hawks,0.6666115,1.43,Houston Rockets,0.3333885,2.85
Atlanta Hawks,0.36620244,2.59,Sacramento Kings,0.6337975,1.5
Atlanta Hawks,0.08256265,11.51,New Orleans Hornets,0.9174374,1.04
Atlanta Hawks,0.4673011,2.03,New York Knicks,0.53269887,1.78
Atlanta Hawks,0.9203432,1.03,Toronto Raptors,0.07965678,11.93
Atlanta Hawks,0.9066533,1.05,Los Angeles Clippers,0.093346715,10.18
Atlanta Hawks,0.27469367,3.46,Philadelphia 76ers,0.72530633,1.31
Atlanta Hawks,0.5741987,1.65,Charlotte Bobcats,0.42580128,2.23
Atlanta Hawks,0.35560197,2.67,Chicago Bulls,0.64439803,1.47
Atlanta Hawks,0.34967494,2.72,Oklahoma City Thunder,0.65032506,1.46
Atlanta Hawks,0.23947372,3.97,New York Knicks,0.7605263,1.25
Atlanta Hawks,0.062173884,15.28,Los Angeles Lakers,0.9378261,1.01
Atlanta Hawks,0.6222643,1.53,Portland Trail Blazers,0.37773567,2.51
Atlanta Hawks,0.45312437,2.1,Milwaukee Bucks,0.5468756,1.74
Atlanta Hawks,0.047581315,19.97,Denver Nuggets,0.9524187,1.0
Atlanta Hawks,0.14944433,6.36,Miami Heat,0.85055566,1.12
Atlanta Hawks,0.70774984,1.34,Detroit Pistons,0.29225016,3.25
Atlanta Hawks,0.19149902,4.96,Chicago Bulls,0.808501,1.18
Atlanta Hawks,0.9091781,1.04,New Jersey Nets,0.09082192,10.46
Atlanta Hawks,0.6537207,1.45,Orlando Magic,0.34627932,2.74
Atlanta Hawks,0.8707547,1.09,Boston Celtics,0.12924528,7.35
Atlanta Hawks,0.4133037,2.3,San Antonio Spurs,0.58669627,1.62
Atlanta Hawks,0.12096508,7.85,Miami Heat,0.87903494,1.08
Atlanta Hawks,0.30900532,3.07,Washington Wizards,0.6909947,1.37
Atlanta Hawks,0.85507596,1.11,New Jersey Nets,0.14492404,6.56
Atlanta Hawks,0.16862613,5.63,Miami Heat,0.8313739,1.14
Atlanta Hawks,0.58284026,1.63,Chicago Bulls,0.41715974,2.28
Atlanta Hawks,0.9878028,0.96,Charlotte Bobcats,0.0121971965,77.89
Atlanta Hawks,0.9460908,1.0,Minnesota Timberwolves,0.053909183,17.62
Atlanta Hawks,0.9581061,0.99,Toronto Raptors,0.0418939,22.68
Atlanta Hawks,0.7523847,1.26,Portland Trail Blazers,0.24761528,3.84
Atlanta Hawks,0.8887067,1.07,Cleveland Cavaliers,0.111293316,8.54
Atlanta Hawks,0.75525784,1.26,Memphis Grizzlies,0.24474216,3.88
Atlanta Hawks,0.3002279,3.16,Philadelphia 76ers,0.6997721,1.36
Atlanta Hawks,0.44772243,2.12,Phoenix Suns,0.55227757,1.72
Atlanta Hawks,0.470663,2.02,Indiana Pacers,0.529337,1.79
Atlanta Hawks,0.22324772,4.26,Miami Heat,0.7767523,1.22
Atlanta Hawks,0.4747567,2.0,Orlando Magic,0.5252433,1.81
Atlanta Hawks,0.23505813,4.04,Golden State Warriors,0.7649419,1.24
Atlanta Hawks,0.437759,2.17,Milwaukee Bucks,0.56224096,1.69
Atlanta Hawks,0.38826665,2.45,Oklahoma City Thunder,0.6117333,1.55
Atlanta Hawks,0.87133694,1.09,Washington Wizards,0.12866306,7.38
Atlanta Hawks,0.7713602,1.23,Boston Celtics,0.22863978,4.16
Atlanta Hawks,0.63004273,1.51,Cleveland Cavaliers,0.36995727,2.57
Atlanta Hawks,0.8553126,1.11,New Jersey Nets,0.14468741,6.57
Atlanta Hawks,0.36783454,2.58,Utah Jazz,0.63216543,1.5
Atlanta Hawks,0.43431625,2.19,Chicago Bulls,0.5656837,1.68
Atlanta Hawks,0.9103136,1.04,New York Knicks,0.089686394,10.59
Atlanta Hawks,0.87288314,1.09,Charlotte Bobcats,0.12711686,7.47
Atlanta Hawks,0.55322224,1.72,Detroit Pistons,0.44677776,2.13
Atlanta Hawks,0.46442646,2.05,Toronto Raptors,0.53557354,1.77
Atlanta Hawks,0.57181895,1.66,Detroit Pistons,0.42818105,2.22
Atlanta Hawks,0.46680495,2.04,Boston Celtics,0.533195,1.78
Atlanta Hawks,0.6210207,1.53,New York Knicks,0.37897933,2.51
Atlanta Hawks,0.8676584,1.09,Los Angeles Clippers,0.13234162,7.18
Atlanta Hawks,0.9574585,0.99,Dallas Mavericks,0.042541504,22.33
Atlanta Hawks,0.7871122,1.21,Houston Rockets,0.21288782,4.46
Atlanta Hawks,0.8741332,1.09,Indiana Pacers,0.12586677,7.55
Atlanta Hawks,0.26984578,3.52,Miami Heat,0.7301542,1.3
Atlanta Hawks,0.7270884,1.31,Orlando Magic,0.2729116,3.48
Atlanta Hawks,0.8968127,1.06,Washington Wizards,0.10318732,9.21
Atlanta Hawks,0.70974624,1.34,Los Angeles Clippers,0.29025376,3.27
Atlanta Hawks,0.9421771,1.01,Charlotte Bobcats,0.057822883,16.43
Atlanta Hawks,0.6662418,1.43,Cleveland Cavaliers,0.33375818,2.85
Atlanta Hawks,0.72086525,1.32,Denver Nuggets,0.27913475,3.4
Atlanta Hawks,0.7697749,1.23,Washington Wizards,0.23022509,4.13
Atlanta Hawks,0.8868912,1.07,Charlotte Bobcats,0.113108814,8.4
Atlanta Hawks,0.31209657,3.04,Golden State Warriors,0.6879034,1.38
Atlanta Hawks,0.4860574,1.95,Oklahoma City Thunder,0.5139426,1.85
Atlanta Hawks,0.6241534,1.52,Chicago Bulls,0.37584662,2.53
Atlanta Hawks,0.46954587,2.02,Detroit Pistons,0.53045416,1.79
Atlanta Hawks,0.7241149,1.31,Indiana Pacers,0.2758851,3.44
Atlanta Hawks,0.5908478,1.61,Boston Celtics,0.4091522,2.32
Atlanta Hawks,0.6535116,1.45,Utah Jazz,0.34648842,2.74
Atlanta Hawks,0.30292282,3.14,Brooklyn Nets,0.69707716,1.36
Atlanta Hawks,0.09828227,9.67,San Antonio Spurs,0.9017177,1.05
Atlanta Hawks,0.6374706,1.49,Minnesota Timberwolves,0.3625294,2.62
Atlanta Hawks,0.8713885,1.09,Boston Celtics,0.1286115,7.39
Atlanta Hawks,0.82700926,1.15,Toronto Raptors,0.17299074,5.49
Atlanta Hawks,0.741591,1.28,Chicago Bulls,0.25840902,3.68
Atlanta Hawks,0.6906007,1.38,Memphis Grizzlies,0.3093993,3.07
Atlanta Hawks,0.5834658,1.63,New Orleans Hornets,0.4165342,2.28
Atlanta Hawks,0.096738994,9.82,Miami Heat,0.903261,1.05
Atlanta Hawks,0.8183573,1.16,Sacramento Kings,0.18164271,5.23
Atlanta Hawks,0.3705259,2.56,Philadelphia 76ers,0.6294741,1.51
Atlanta Hawks,0.31135568,3.05,Brooklyn Nets,0.6886443,1.38
Atlanta Hawks,0.40772408,2.33,Los Angeles Lakers,0.5922759,1.6
Atlanta Hawks,0.90194595,1.05,Phoenix Suns,0.09805405,9.69
Atlanta Hawks,0.33379126,2.85,Dallas Mavericks,0.66620874,1.43
Atlanta Hawks,0.9148439,1.04,Milwaukee Bucks,0.08515608,11.16
Atlanta Hawks,0.52518266,1.81,Portland Trail Blazers,0.47481734,2.0
Atlanta Hawks,0.6808427,1.4,Orlando Magic,0.3191573,2.98
Atlanta Hawks,0.79864806,1.19,Cleveland Cavaliers,0.20135194,4.72
Atlanta Hawks,0.11730636,8.1,New York Knicks,0.88269365,1.08
Atlanta Hawks,0.26096,3.64,Philadelphia 76ers,0.73904,1.29
Atlanta Hawks,0.7843388,1.21,Milwaukee Bucks,0.21566123,4.41
Atlanta Hawks,0.77765167,1.22,Toronto Raptors,0.22234833,4.27
Atlanta Hawks,0.3835234,2.48,Toronto Raptors,0.6164766,1.54
Atlanta Hawks,0.65036744,1.46,Orlando Magic,0.34963256,2.72
Atlanta Hawks,0.7071622,1.34,New York Knicks,0.2928378,3.24
Atlanta Hawks,0.5614167,1.69,Philadelphia 76ers,0.4385833,2.17
