Home,Home Win %,Home Odds,Away,Away Win %,Away Odds
Atlanta Hawks,0.9122768,1.0413506,Washington Wizards,0.087723196,10.829518
Atlanta Hawks,0.8202543,1.1581774,Detroit Pistons,0.17974567,5.285245
Atlanta Hawks,0.32649884,2.9096582,Phoenix Suns,0.67350113,1.4105396
Atlanta Hawks,0.43688342,2.174493,Milwaukee Bucks,0.56311655,1.6870397
Atlanta Hawks,0.68532056,1.3862126,Utah Jazz,0.31467944,3.0189452
Atlanta Hawks,0.7718618,1.2307903,Minnesota Timberwolves,0.22813821,4.1641426
Atlanta Hawks,0.70606506,1.3454851,Dallas Mavericks,0.29393494,3.2320077
Atlanta Hawks,0.11434192,8.3084135,Boston Celtics,0.8856581,1.0726486
Atlanta Hawks,0.6055516,1.5688176,Washington Wizards,0.3944484,2.4084265
Atlanta Hawks,0.7298164,1.3016973,Memphis Grizzlies,0.27018362,3.5161273
Atlanta Hawks,0.8212533,1.1567686,Philadelphia 76ers,0.1787467,5.314783
Atlanta Hawks,0.87334776,1.0877683,New Jersey Nets,0.12665224,7.500854
Atlanta Hawks,0.788813,1.2043412,Indiana Pacers,0.211187,4.4983826
Atlanta Hawks,0.8649729,1.0983003,Charlotte Bobcats,0.13502711,7.035624
Atlanta Hawks,0.4689517,2.025795,Orlando Magic,0.5310483,1.7889144
Atlanta Hawks,0.83785254,1.133851,Cleveland Cavaliers,0.16214746,5.8588643
Atlanta Hawks,0.6240323,1.5223571,Golden State Warriors,0.37596768,2.526813
Atlanta Hawks,0.8847133,1.0737942,Indiana Pacers,0.11528671,8.240325
Atlanta Hawks,0.6666115,1.4251179,Houston Rockets,0.3333885,2.8495283
Atlanta Hawks,0.36620244,2.5941935,Sacramento Kings,0.6337975,1.4989014
Atlanta Hawks,0.08256265,11.506413,New Orleans Hornets,0.9174374,1.035493
Atlanta Hawks,0.4673011,2.0329504,New York Knicks,0.53269887,1.7833714
Atlanta Hawks,0.9203432,1.0322236,Toronto Raptors,0.07965678,11.926166
Atlanta Hawks,0.9066533,1.0478096,Los Angeles Clippers,0.093346715,10.177112
Atlanta Hawks,0.27469367,3.4583979,Philadelphia 76ers,0.72530633,1.3097914
Atlanta Hawks,0.5741987,1.6544795,Charlotte Bobcats,0.42580128,2.2310877
