Home,Home Win %,Home Odds,Away,Away Win %,Away Odds
Atlanta Hawks,0.9122768,1.0961585,Washington Wizards,0.087723196,11.399493
Atlanta Hawks,0.8202543,1.2191341,Detroit Pistons,0.17974567,5.563416
Atlanta Hawks,0.32649884,3.062798,Phoenix Suns,0.67350113,1.4847785
Atlanta Hawks,0.43688342,2.2889402,Milwaukee Bucks,0.56311655,1.7758313
Atlanta Hawks,0.68532056,1.4591712,Utah Jazz,0.31467944,3.1778371
Atlanta Hawks,0.7718618,1.2955687,Minnesota Timberwolves,0.22813821,4.383308
Atlanta Hawks,0.70606506,1.4163,Dallas Mavericks,0.29393494,3.4021134
Atlanta Hawks,0.11434192,8.745699,Boston Celtics,0.8856581,1.1291039
Atlanta Hawks,0.6055516,1.651387,Washington Wizards,0.3944484,2.5351858
Atlanta Hawks,0.7298164,1.3702077,Memphis Grizzlies,0.27018362,3.7011867
Atlanta Hawks,0.8212533,1.2176511,Philadelphia 76ers,0.1787467,5.5945086
Atlanta Hawks,0.87334776,1.1450193,New Jersey Nets,0.12665224,7.895636
Atlanta Hawks,0.788813,1.2677276,Indiana Pacers,0.211187,4.73514
Atlanta Hawks,0.8649729,1.1561056,Charlotte Bobcats,0.13502711,7.40592
Atlanta Hawks,0.4689517,2.1324158,Orlando Magic,0.5310483,1.8830678
Atlanta Hawks,0.83785254,1.1935275,Cleveland Cavaliers,0.16214746,6.167226
Atlanta Hawks,0.6240323,1.6024811,Golden State Warriors,0.37596768,2.6598032
Atlanta Hawks,0.8847133,1.1303097,Indiana Pacers,0.11528671,8.6740265
Atlanta Hawks,0.6666115,1.5001241,Houston Rockets,0.3333885,2.9995036
Atlanta Hawks,0.36620244,2.73073,Sacramento Kings,0.6337975,1.577791
Atlanta Hawks,0.08256265,12.112015,New Orleans Hornets,0.9174374,1.0899926
Atlanta Hawks,0.4673011,2.139948,New York Knicks,0.53269887,1.8772331
